,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11
Nilai Semester 2 - Matematika 2,0.6714621238292268,-0.2162763856874715,0.13822555193493574,-0.416927427457284,-0.06040917226731913,-0.13107695862403382,-0.0026341679479244913,0.1621012014577356,-0.2469063820016177,-0.12430322422962162,-0.11595080375703147
Nilai Semester 2 - Kewarganegaraan,0.43033501414868813,-0.006925790155359273,-0.127128944625873,-0.012352562780698474,-0.07807787576457881,0.02116279081037516,-0.20884083504848877,0.3737864215802855,-0.05534801735529429,-0.31608381986068373,-0.09731781517315698
Nilai Semester 2 - Praktikum Pemodelan Statistik Terapan,0.7303833435060261,0.2984840696789881,0.1899621504327651,0.1473392267886084,0.21756868508573854,-0.05774843047546041,-0.09081854509684179,-0.014418375202770409,0.06585627443271813,0.253085223736232,0.10896598552782372
Nilai Semester 2 - Praktikum Pemrograman 2,0.5052669243369715,0.38201260449322083,0.13709059542370522,0.07887236961448074,-0.3023154567252929,-0.05100131323302266,0.3724552330595733,0.15880715380823676,0.23059972791559957,0.022116681488168793,-0.003564031907916407
Nilai Semester 2 - Praktikum Kecerdasan Buatan,0.4063351619714124,-0.38676877561165457,0.005145432445209949,0.0016592495988019943,-0.3175893620333234,0.15968572387680596,-0.021808778280992536,0.4285525665112321,-0.2957049070352692,0.16062092240240852,-0.0029816149800743668
Nilai Semester 2 - Praktikum Pemrosesan Data,0.27777875588188444,0.30215014039046545,-0.3785984922930968,-0.2312770248955678,0.1788154035200147,-0.26714081864508016,-0.36300127171440966,-0.37503092756490697,-0.10420370968275984,-0.19213388010475246,0.04258155219916246
Nilai Semester 2 - Praktikum Manajemen Data,0.5651302143321932,0.01945484885480376,-0.1034869021052402,0.07273282679597136,-0.14439965377409503,0.6254463188843397,0.2622564715794104,-0.04420158082492755,-0.06099257741753068,-0.1426455634563429,0.1385397192693898
Nilai Semester 3 - Matematika 3,0.6006548526219787,-0.2874565654222144,0.4315817491637294,0.134114758098841,0.22657125522909083,0.19597516351087735,-0.12624902892359033,-0.30287756686688844,0.007224605164805357,-0.24204099201875914,-0.010524423537718734
Nilai Semester 3 - Analisa Statistika Terapan,0.7494953766149299,0.16101049598358388,0.10878654904321267,0.238514181564322,0.2536909215591266,-0.1735299774674874,-0.07889797003222586,0.3293513336449658,-0.07672812970628382,-0.030442220149456432,0.04913680987289597
Nilai Semester 3 - Pemrograman 3,0.49003181587271805,0.09394497993965428,-0.2569591332815333,-0.5071487663001878,-0.11623096421666095,-0.3270691920857109,0.007095312405121926,-0.3624134186802907,0.05231611985411957,0.0995761444145125,0.2112917327695706
